transaction_id,client_id,compte_destination_id,date_transaction,montant_fcfa,type_transaction,is_risky,type_anomalie,source
AMLSIM-23,AMLSIM-CLI-1,AMLSIM-CLI-114,2026-03-30,21600.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-24,AMLSIM-CLI-1,AMLSIM-CLI-87,2026-06-26,51200.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-25,AMLSIM-CLI-1,AMLSIM-CLI-55,2026-03-25,117400.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-26,AMLSIM-CLI-1,AMLSIM-CLI-15,2026-02-27,95000.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-27,AMLSIM-CLI-1,AMLSIM-CLI-70,2026-02-03,61800.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-28,AMLSIM-CLI-1,AMLSIM-CLI-782,2026-06-01,9100.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-29,AMLSIM-CLI-1,AMLSIM-CLI-128,2026-06-22,26800.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-30,AMLSIM-CLI-1,AMLSIM-CLI-39,2026-05-15,33200.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-31,AMLSIM-CLI-1,AMLSIM-CLI-3168,2026-02-22,17400.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-32,AMLSIM-CLI-1,AMLSIM-CLI-1305,2026-04-27,7100.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-33,AMLSIM-CLI-1,AMLSIM-CLI-1193,2026-06-19,53800.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-34,AMLSIM-CLI-1,AMLSIM-CLI-19,2026-05-12,98400.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-35,AMLSIM-CLI-1,AMLSIM-CLI-54,2026-03-28,30700.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-36,AMLSIM-CLI-1,AMLSIM-CLI-452,2026-04-21,115600.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-37,AMLSIM-CLI-1,AMLSIM-CLI-129,2026-04-16,11100.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-38,AMLSIM-CLI-1,AMLSIM-CLI-152,2026-03-16,16400.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-39,AMLSIM-CLI-1,AMLSIM-CLI-44,2026-03-24,52600.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-40,AMLSIM-CLI-1,AMLSIM-CLI-18,2026-06-01,28100.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-41,AMLSIM-CLI-1,AMLSIM-CLI-14,2026-06-23,89600.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-42,AMLSIM-CLI-1,AMLSIM-CLI-7,2026-04-16,74400.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-43,AMLSIM-CLI-1,AMLSIM-CLI-4784,2026-03-04,30200.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-44,AMLSIM-CLI-1,AMLSIM-CLI-111,2026-02-18,12100.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-45,AMLSIM-CLI-1,AMLSIM-CLI-16,2026-04-26,26900.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-46,AMLSIM-CLI-1,AMLSIM-CLI-123,2026-05-03,76400.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-47,AMLSIM-CLI-1,AMLSIM-CLI-30,2026-06-07,93600.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-48,AMLSIM-CLI-1,AMLSIM-CLI-13,2026-04-11,28200.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-49,AMLSIM-CLI-1,AMLSIM-CLI-1051,2026-05-26,7000.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-50,AMLSIM-CLI-1,AMLSIM-CLI-31,2026-02-17,10500.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-51,AMLSIM-CLI-1,AMLSIM-CLI-101,2026-07-25,69900.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-52,AMLSIM-CLI-1,AMLSIM-CLI-5,2026-06-07,29700.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-53,AMLSIM-CLI-1,AMLSIM-CLI-2505,2026-07-26,30400.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-54,AMLSIM-CLI-1,AMLSIM-CLI-22,2026-06-11,16100.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-55,AMLSIM-CLI-1,AMLSIM-CLI-216,2026-03-23,15800.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-56,AMLSIM-CLI-1,AMLSIM-CLI-27,2026-07-14,113400.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-57,AMLSIM-CLI-1,AMLSIM-CLI-11,2026-03-10,72600.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-58,AMLSIM-CLI-1,AMLSIM-CLI-1804,2026-05-17,23400.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-59,AMLSIM-CLI-1,AMLSIM-CLI-1844,2026-07-06,48700.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-60,AMLSIM-CLI-1,AMLSIM-CLI-26,2026-06-11,58100.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-61,AMLSIM-CLI-1,AMLSIM-CLI-203,2026-05-25,262100.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-62,AMLSIM-CLI-1,AMLSIM-CLI-361,2026-05-29,14600.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-63,AMLSIM-CLI-1,AMLSIM-CLI-48,2026-04-17,57300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-64,AMLSIM-CLI-1,AMLSIM-CLI-24,2026-05-01,112800.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-65,AMLSIM-CLI-1,AMLSIM-CLI-520,2026-02-28,225000.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-66,AMLSIM-CLI-1,AMLSIM-CLI-515,2026-05-18,22300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-67,AMLSIM-CLI-1,AMLSIM-CLI-6140,2026-07-18,29300.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-68,AMLSIM-CLI-1,AMLSIM-CLI-197,2026-04-05,90500.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-69,AMLSIM-CLI-1,AMLSIM-CLI-181,2026-02-06,8900.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-70,AMLSIM-CLI-1,AMLSIM-CLI-21,2026-04-29,63500.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-71,AMLSIM-CLI-1,AMLSIM-CLI-20,2026-02-16,404700.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-72,AMLSIM-CLI-1,AMLSIM-CLI-470,2026-05-01,71000.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-73,AMLSIM-CLI-1,AMLSIM-CLI-100,2026-05-15,4300.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-74,AMLSIM-CLI-1,AMLSIM-CLI-178,2026-03-22,18400.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-75,AMLSIM-CLI-1,AMLSIM-CLI-6551,2026-05-06,23000.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-76,AMLSIM-CLI-1,AMLSIM-CLI-681,2026-02-05,145400.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-77,AMLSIM-CLI-1,AMLSIM-CLI-228,2026-07-13,37800.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-78,AMLSIM-CLI-1,AMLSIM-CLI-271,2026-05-12,7100.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-79,AMLSIM-CLI-1,AMLSIM-CLI-23,2026-06-03,42400.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-80,AMLSIM-CLI-1,AMLSIM-CLI-3,2026-06-12,51900.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-81,AMLSIM-CLI-1,AMLSIM-CLI-283,2026-02-21,26000.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-82,AMLSIM-CLI-1,AMLSIM-CLI-11474,2026-03-15,15600.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-83,AMLSIM-CLI-1,AMLSIM-CLI-28,2026-05-12,467800.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-84,AMLSIM-CLI-1,AMLSIM-CLI-201,2026-07-01,113200.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-85,AMLSIM-CLI-1,AMLSIM-CLI-147,2026-03-31,125400.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-86,AMLSIM-CLI-1,AMLSIM-CLI-2,2026-03-26,37900.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-87,AMLSIM-CLI-1,AMLSIM-CLI-41,2026-03-20,21900.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-88,AMLSIM-CLI-1,AMLSIM-CLI-59,2026-03-03,27300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-89,AMLSIM-CLI-1,AMLSIM-CLI-154,2026-04-21,11000.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-90,AMLSIM-CLI-1,AMLSIM-CLI-93,2026-07-12,255600.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-91,AMLSIM-CLI-1,AMLSIM-CLI-528,2026-07-12,39500.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-92,AMLSIM-CLI-1,AMLSIM-CLI-156,2026-05-06,189300.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-93,AMLSIM-CLI-1,AMLSIM-CLI-5881,2026-06-20,28600.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-94,AMLSIM-CLI-1,AMLSIM-CLI-32,2026-04-10,72100.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-95,AMLSIM-CLI-1,AMLSIM-CLI-8493,2026-06-16,55000.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-96,AMLSIM-CLI-1,AMLSIM-CLI-442,2026-07-20,10000.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-97,AMLSIM-CLI-1,AMLSIM-CLI-704,2026-02-24,299700.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-98,AMLSIM-CLI-1,AMLSIM-CLI-244,2026-03-01,29500.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-99,AMLSIM-CLI-1,AMLSIM-CLI-364,2026-05-20,13300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-100,AMLSIM-CLI-1,AMLSIM-CLI-174,2026-03-29,91300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-101,AMLSIM-CLI-1,AMLSIM-CLI-1125,2026-07-26,44700.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-102,AMLSIM-CLI-1,AMLSIM-CLI-72,2026-02-27,65200.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-103,AMLSIM-CLI-1,AMLSIM-CLI-53,2026-03-15,49700.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-104,AMLSIM-CLI-1,AMLSIM-CLI-36,2026-06-03,4700.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-105,AMLSIM-CLI-1,AMLSIM-CLI-285,2026-05-04,17800.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-106,AMLSIM-CLI-1,AMLSIM-CLI-118,2026-05-17,17100.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-107,AMLSIM-CLI-1,AMLSIM-CLI-56,2026-06-26,123200.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-108,AMLSIM-CLI-1,AMLSIM-CLI-35,2026-06-15,46500.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-109,AMLSIM-CLI-1,AMLSIM-CLI-190,2026-02-24,77000.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-110,AMLSIM-CLI-1,AMLSIM-CLI-47,2026-04-14,31400.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-111,AMLSIM-CLI-1,AMLSIM-CLI-57,2026-04-30,81300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-112,AMLSIM-CLI-1,AMLSIM-CLI-210,2026-07-24,38000.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-113,AMLSIM-CLI-1,AMLSIM-CLI-25,2026-07-18,35200.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-114,AMLSIM-CLI-1,AMLSIM-CLI-67,2026-05-12,54600.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-115,AMLSIM-CLI-1,AMLSIM-CLI-141,2026-02-21,49700.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-116,AMLSIM-CLI-1,AMLSIM-CLI-66,2026-04-18,717600.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-117,AMLSIM-CLI-1,AMLSIM-CLI-10,2026-05-20,17600.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-118,AMLSIM-CLI-1,AMLSIM-CLI-12,2026-06-26,9000.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-119,AMLSIM-CLI-1,AMLSIM-CLI-3185,2026-06-23,63700.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-120,AMLSIM-CLI-1,AMLSIM-CLI-134,2026-02-21,20200.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-121,AMLSIM-CLI-1,AMLSIM-CLI-1376,2026-06-25,4200.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-122,AMLSIM-CLI-1,AMLSIM-CLI-237,2026-05-08,14000.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-123,AMLSIM-CLI-1,AMLSIM-CLI-275,2026-07-08,512200.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-124,AMLSIM-CLI-1,AMLSIM-CLI-109,2026-04-17,17200.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-125,AMLSIM-CLI-2,AMLSIM-CLI-142,2026-05-30,6500.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-126,AMLSIM-CLI-2,AMLSIM-CLI-17,2026-04-24,468200.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-127,AMLSIM-CLI-2,AMLSIM-CLI-58,2026-03-16,13500.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-128,AMLSIM-CLI-2,AMLSIM-CLI-140,2026-06-28,1099100.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-129,AMLSIM-CLI-2,AMLSIM-CLI-2720,2026-02-13,30000.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-130,AMLSIM-CLI-2,AMLSIM-CLI-365,2026-02-28,301300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-131,AMLSIM-CLI-2,AMLSIM-CLI-12,2026-03-29,34400.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-132,AMLSIM-CLI-2,AMLSIM-CLI-63,2026-07-17,72600.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-133,AMLSIM-CLI-2,AMLSIM-CLI-10,2026-03-25,38800.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-134,AMLSIM-CLI-2,AMLSIM-CLI-27,2026-02-22,34600.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-135,AMLSIM-CLI-2,AMLSIM-CLI-31,2026-02-11,58100.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-136,AMLSIM-CLI-2,AMLSIM-CLI-25,2026-02-11,75600.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-137,AMLSIM-CLI-2,AMLSIM-CLI-138,2026-06-04,53400.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-138,AMLSIM-CLI-2,AMLSIM-CLI-37,2026-03-31,47700.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-139,AMLSIM-CLI-2,AMLSIM-CLI-416,2026-07-09,20300.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-140,AMLSIM-CLI-2,AMLSIM-CLI-4,2026-02-09,40400.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-141,AMLSIM-CLI-2,AMLSIM-CLI-21,2026-03-18,254000.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-142,AMLSIM-CLI-2,AMLSIM-CLI-50,2026-04-17,19400.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-143,AMLSIM-CLI-2,AMLSIM-CLI-66,2026-04-10,60000.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-144,AMLSIM-CLI-2,AMLSIM-CLI-6065,2026-02-20,166800.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-145,AMLSIM-CLI-2,AMLSIM-CLI-108,2026-02-11,76300.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-146,AMLSIM-CLI-2,AMLSIM-CLI-107,2026-02-19,124800.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-147,AMLSIM-CLI-2,AMLSIM-CLI-26,2026-07-14,13300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-148,AMLSIM-CLI-2,AMLSIM-CLI-8,2026-06-26,60100.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-149,AMLSIM-CLI-2,AMLSIM-CLI-111,2026-05-28,32600.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-150,AMLSIM-CLI-2,AMLSIM-CLI-56,2026-02-26,34100.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-151,AMLSIM-CLI-2,AMLSIM-CLI-20,2026-05-05,227100.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-152,AMLSIM-CLI-2,AMLSIM-CLI-33,2026-04-26,34700.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-153,AMLSIM-CLI-2,AMLSIM-CLI-35,2026-05-28,62300.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-154,AMLSIM-CLI-2,AMLSIM-CLI-45,2026-02-27,6500.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-155,AMLSIM-CLI-2,AMLSIM-CLI-2587,2026-04-18,300900.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-156,AMLSIM-CLI-2,AMLSIM-CLI-30,2026-04-09,116400.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-157,AMLSIM-CLI-2,AMLSIM-CLI-150,2026-04-01,42100.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-158,AMLSIM-CLI-2,AMLSIM-CLI-462,2026-06-05,31100.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-159,AMLSIM-CLI-2,AMLSIM-CLI-109,2026-07-22,85400.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-160,AMLSIM-CLI-2,AMLSIM-CLI-343,2026-04-29,164300.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-161,AMLSIM-CLI-2,AMLSIM-CLI-32,2026-05-09,306400.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-162,AMLSIM-CLI-2,AMLSIM-CLI-193,2026-05-30,111900.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
